,model,period,conf,bitrate_start_incl,bitrate_end_excl,abs_value,abs_min_approx_rb,percentage,percentage_min_approx_rb
72,after,60,0.9,2000,2500,300.46679527307,300.46679527307,15.744531678437582,15.744531678437582
73,after,60,0.95,2000,2500,384.1557270307599,384.1557270307599,21.262231254196678,21.262231254196678
74,after,60,0.97,2000,2500,564.1125223038298,493.0,99.86621512842248,31.930051813471504
75,after,60,0.9,2500,3000,334.1668288492249,334.1668288492249,14.114156838428961,14.114156838428961
76,after,60,0.95,2500,3000,536.500486547674,524.0,26.024067737883605,24.904942965779465
77,after,60,0.97,2500,3000,658.9004865476745,524.0,36.98211097749146,24.904942965779465
78,after,60,0.9,3000,3500,414.30961278989565,414.30961278989565,14.330007389965193,14.330007389965193
79,after,60,0.95,3000,3500,783.408611033281,544.0,27.854332824110173,21.266614542611414
80,after,60,0.97,3000,3500,1042.128611033283,544.0,34.97343545969767,21.266614542611414
81,after,60,0.9,3500,4000,449.32635531313093,449.32635531313093,13.605586048224623,13.605586048224623
82,after,60,0.95,3500,4000,832.5370100807977,543.0,28.035267095517696,16.484517304189435
83,after,60,0.97,3500,4000,1034.4970100807914,543.0,36.092231651467245,16.484517304189435
84,after,60,0.9,4000,4500,583.8691094059775,583.8691094059775,16.241225277062547,16.241225277062547
85,after,60,0.95,4000,4500,1020.8691094059759,599.0,30.006317656660343,16.717834217136478
86,after,60,0.97,4000,4500,1195.6691094059743,599.0,35.51235460849949,16.717834217136478
87,after,60,0.9,4500,5000,653.1509838052443,598.0,14.72025663909563,14.47067783701447
88,after,60,0.95,4500,5000,850.5509838052403,598.0,15.613565373257046,14.47067783701447
89,after,60,0.97,4500,5000,929.5109838052394,598.0,15.970888866921598,14.47067783701447
90,after,60,0.9,5000,5500,1245.8182358662298,802.0,27.45011131430713,17.45375408052231
91,after,60,0.95,5000,5500,1831.4182358662256,802.0,40.639895606696456,17.45375408052231
92,after,60,0.97,5000,5500,2065.6582358662226,802.0,45.915809323652184,17.45375408052231
93,after,60,0.9,5500,6000,750.0384339811435,607.0,16.125077233543415,11.827747466874513
94,after,60,0.95,5500,6000,860.5884339811437,607.0,19.44635105123548,11.827747466874513
95,after,60,0.97,5500,6000,904.8084339811439,607.0,20.774860578312314,11.827747466874513
96,after,60,0.9,6000,6500,714.4103221971682,518.0,14.629377668146432,9.351868568333634
97,after,60,0.95,6000,6500,798.0103221971676,518.0,16.875694235467407,9.351868568333634
98,after,60,0.97,6000,6500,831.4503221971681,518.0,17.774220862395794,9.351868568333634
99,after,60,0.9,6500,7000,786.8878504724985,642.0,11.201232040109467,10.413625304136254
100,after,60,0.95,6500,7000,834.4878504724979,642.0,11.459984451095373,10.413625304136254
101,after,60,0.97,6500,7000,853.5278504724984,642.0,11.563485415489737,10.413625304136254
102,after,60,0.9,7000,7500,1531.5483186943395,698.0,25.683296271021007,11.019892642879697
103,after,60,0.95,7000,7500,1705.548318694339,698.0,28.744225282662608,11.019892642879697
104,after,60,0.97,7000,7500,1775.1483186943392,698.0,29.968596887319258,11.019892642879697
105,after,60,0.9,7500,8000,1791.555337893467,901.0,28.857319574571065,13.494084169537219
106,after,60,0.95,7500,8000,1993.8553378934662,901.0,32.34725713397082,13.494084169537219
107,after,60,0.97,7500,8000,2074.7753378934667,901.0,33.74323215773072,13.494084169537219
108,after,60,0.9,8000,8500,888.5207027737274,405.0,11.043009575621955,5.005561735261402
109,after,60,0.95,8000,8500,930.2718529278234,405.0,11.564332426710664,5.005561735261402
110,after,60,0.97,8000,8500,946.9723129894617,405.0,11.772861567146148,5.005561735261402
111,after,60,0.9,8500,9000,888.5207027737274,405.0,11.043009575621955,5.005561735261402
112,after,60,0.95,8500,9000,930.2718529278234,405.0,11.564332426710664,5.005561735261402
113,after,60,0.97,8500,9000,946.9723129894617,405.0,11.772861567146148,5.005561735261402
114,after,60,0.9,9000,9500,888.5207027737274,405.0,11.043009575621955,5.005561735261402
115,after,60,0.95,9000,9500,930.2718529278234,405.0,11.564332426710664,5.005561735261402
116,after,60,0.97,9000,9500,946.9723129894617,405.0,11.772861567146148,5.005561735261402
117,after,60,0.9,9500,10000,888.5207027737274,405.0,11.043009575621955,5.005561735261402
118,after,60,0.95,9500,10000,930.2718529278234,405.0,11.564332426710664,5.005561735261402
119,after,60,0.97,9500,10000,946.9723129894617,405.0,11.772861567146148,5.005561735261402
120,after,120,0.9,0,500,168.36612428245923,141.0,52.36576639230801,42.72727272727273
121,after,120,0.95,0,500,285.96612428245885,141.0,93.78510817811855,42.72727272727273
122,after,120,0.97,0,500,333.00612428245904,141.0,110.35284489244276,42.72727272727273
123,after,120,0.9,500,1000,148.0,148.0,23.010282493239853,23.010282493239853
124,after,120,0.95,500,1000,179.16078555879974,179.16078555879974,29.534759374156323,29.534759374156323
125,after,120,0.97,500,1000,220.42235667639926,220.42235667639926,36.19986058211018,36.19986058211018
126,after,120,0.9,1000,1500,198.0,198.0,19.648462071858678,19.648462071858678
127,after,120,0.95,1000,1500,241.0,241.0,24.3247900531363,24.3247900531363
128,after,120,0.97,1000,1500,302.2219109381241,302.2219109381241,32.048900154146935,32.048900154146935
129,after,120,0.9,1500,2000,254.0,254.0,17.512637767953816,17.512637767953816
130,after,120,0.95,1500,2000,315.74298566308187,315.74298566308187,23.30619350073831,23.30619350073831
131,after,120,0.97,1500,2000,1134.41795340502,521.0,77.81889977908628,36.690140845070424
132,after,120,0.9,2000,2500,321.74178332408536,321.74178332408536,16.446277514362766,16.446277514362766
133,after,120,0.95,2000,2500,557.7072580882576,493.0,40.37354221982265,31.930051813471504
134,after,120,0.97,2000,2500,1285.927258088238,493.0,135.39717272702666,31.930051813471504
135,after,120,0.9,2500,3000,388.52600750584566,388.52600750584566,17.012864636641062,17.012864636641062
136,after,120,0.95,2500,3000,725.4067479033474,515.0,35.12587030082017,24.099204492278893
137,after,120,0.97,2500,3000,935.4067479033456,515.0,46.131219905184196,24.099204492278893
138,after,120,0.9,3000,3500,499.7736040428902,499.7736040428902,18.205889126061216,18.205889126061216
139,after,120,0.95,3000,3500,602.4780033690749,511.0,39.12920785350835,20.35856573705179
140,after,120,0.97,3000,3500,643.4780033690749,511.0,47.54211913743441,20.35856573705179
141,after,120,0.9,3500,4000,529.3092102596942,509.0,14.814888511462147,14.800814190171563
142,after,120,0.95,3500,4000,645.5592102596938,509.0,14.895449982297748,14.800814190171563
143,after,120,0.97,3500,4000,692.0592102596938,509.0,14.927674570632007,14.800814190171563
144,after,120,0.9,4000,4500,753.1276193103758,599.0,23.678449458252985,16.717834217136478
145,after,120,0.95,4000,4500,994.6276193103768,599.0,34.58492156397294,16.717834217136478
146,after,120,0.97,4000,4500,1091.2276193103771,599.0,38.94751040626096,16.717834217136478
147,after,120,0.9,4500,5000,783.0060995356357,598.0,16.7682694451929,14.343967378268168
148,after,120,0.95,4500,5000,945.8060995356363,598.0,18.901584927687693,14.343967378268168
149,after,120,0.97,4500,5000,1010.9260995356362,598.0,19.75491112068562,14.343967378268168
150,after,120,0.9,5000,5500,1116.0298400334573,680.0,26.40637765543721,14.705882352941178
151,after,120,0.95,5000,5500,1373.079840033457,680.0,33.30409896110707,14.705882352941178
152,after,120,0.97,5000,5500,1475.8998400334567,680.0,36.06318748337503,14.705882352941178
153,after,120,0.9,5500,6000,1155.3600963857143,607.0,24.07083305901248,11.827747466874513
154,after,120,0.95,5500,6000,1372.3600963857139,607.0,28.91573258945752,11.827747466874513
155,after,120,0.97,5500,6000,1459.1600963857145,607.0,30.853692401635527,11.827747466874513
156,after,120,0.9,6000,6500,872.6198433885259,518.0,17.63735758461924,9.351868568333634
157,after,120,0.95,6000,6500,972.6698433885254,518.0,19.974968385408943,9.351868568333634
158,after,120,0.97,6000,6500,1012.6898433885258,518.0,20.910012705724824,9.351868568333634
159,after,120,0.9,6500,7000,855.2624147515912,642.0,12.889804189104176,10.413625304136254
160,after,120,0.95,6500,7000,905.6624147515913,642.0,13.474995986485588,10.413625304136254
161,after,120,0.97,6500,7000,925.8224147515912,642.0,13.709072705438146,10.413625304136254
162,after,120,0.9,7000,7500,1087.7152447727717,498.0,17.343143094825592,7.621671258034894
163,after,120,0.95,7000,7500,1171.3152447727716,498.0,18.721291366825675,7.621671258034894
164,after,120,0.97,7000,7500,1204.7552447727712,498.0,19.27255067562571,7.621671258034894
165,after,120,0.9,7500,8000,716.3740441521716,663.0,10.6076936355419,9.388275276125743
166,after,120,0.95,7500,8000,724.4740441521717,663.0,10.792751539026042,9.388275276125743
167,after,120,0.97,7500,8000,727.7140441521715,663.0,10.86677470041969,9.388275276125743
168,after,120,0.9,8000,8500,983.6214454901547,239.0,11.90770478257839,2.894513745912559
169,after,120,0.95,8000,8500,1038.0448591284965,239.0,12.566467200664487,2.894513745912559
170,after,120,0.97,8000,8500,1059.814224583833,239.0,12.829972167898925,2.894513745912559
171,after,120,0.9,8500,9000,983.6214454901547,239.0,11.90770478257839,2.894513745912559
172,after,120,0.95,8500,9000,1038.0448591284965,239.0,12.566467200664487,2.894513745912559
173,after,120,0.97,8500,9000,1059.814224583833,239.0,12.829972167898925,2.894513745912559
174,after,120,0.9,9000,9500,983.6214454901547,239.0,11.90770478257839,2.894513745912559
175,after,120,0.95,9000,9500,1038.0448591284965,239.0,12.566467200664487,2.894513745912559
176,after,120,0.97,9000,9500,1059.814224583833,239.0,12.829972167898925,2.894513745912559
177,after,120,0.9,9500,10000,983.6214454901547,239.0,11.90770478257839,2.894513745912559
178,after,120,0.95,9500,10000,1038.0448591284965,239.0,12.566467200664487,2.894513745912559
179,after,120,0.97,9500,10000,1059.814224583833,239.0,12.829972167898925,2.894513745912559
180,after,180,0.9,0,500,265.95705505335934,139.0,89.05717091152046,41.86746987951807
181,after,180,0.95,0,500,388.4070550533585,139.0,134.57160797009922,41.86746987951807
182,after,180,0.97,0,500,437.38705505335815,139.0,152.77738279353082,41.86746987951807
183,after,180,0.9,500,1000,150.95333583362415,150.95333583362415,22.815224402631166,22.815224402631166
184,after,180,0.95,500,1000,184.5533358336241,184.5533358336241,29.675864167355975,29.675864167355975
185,after,180,0.97,500,1000,338.9067016707322,283.0,70.05591283505919,47.41873804971319
186,after,180,0.9,1000,1500,203.04138415296657,203.04138415296657,20.35769026657363,20.35769026657363
187,after,180,0.95,1000,1500,256.0,256.0,25.598199341021537,25.598199341021537
188,after,180,0.97,1000,1500,388.31321967119493,353.0,54.79238201966989,43.68811881188119
189,after,180,0.9,1500,2000,263.0,263.0,18.30853834878941,18.30853834878941
190,after,180,0.95,1500,2000,348.82094463732767,348.82094463732767,25.650323564330865,25.650323564330865
191,after,180,0.97,1500,2000,1112.0645605704467,448.0,51.45177610439248,31.79559971611072
192,after,180,0.9,2000,2500,336.99920162946995,336.99920162946995,17.163718761012195,17.163718761012195
193,after,180,0.95,2000,2500,945.3377270986252,493.0,81.52388954457794,31.930051813471504
194,after,180,0.97,2000,2500,1687.8977270985888,493.0,162.93739529352285,31.930051813471504
195,after,180,0.9,2500,3000,466.11441918298385,466.11441918298385,20.443026236362776,20.443026236362776
196,after,180,0.95,2500,3000,504.681922557731,487.0,25.34689522755062,22.631824545030334
197,after,180,0.97,2500,3000,515.1619225577315,487.0,26.95610602801139,22.631824545030334
198,after,180,0.9,3000,3500,526.7811009024001,511.0,23.596736513992713,20.35856573705179
199,after,180,0.95,3000,3500,601.7811009023999,511.0,38.98620837483301,20.35856573705179
200,after,180,0.97,3000,3500,631.7811009023999,511.0,45.14199711916913,20.35856573705179
201,after,180,0.9,3500,4000,589.6703846057844,494.0,17.45414012251225,14.790419161676645
202,after,180,0.95,3500,4000,733.8703846057861,494.0,21.469056171352676,14.790419161676645
203,after,180,0.97,3500,4000,791.5503846057863,494.0,23.075022590888864,14.790419161676645
204,after,180,0.9,4000,4500,788.4405097917574,599.0,22.685033571190615,16.717834217136478
205,after,180,0.95,4000,4500,967.8405097917584,599.0,28.335966232288712,16.717834217136478
206,after,180,0.97,4000,4500,1039.6005097917578,599.0,30.596339296727933,16.717834217136478
207,after,180,0.9,4500,5000,1132.6504940316368,546.0,33.99223575521996,13.787878787878787
208,after,180,0.95,4500,5000,1444.6504940316354,546.0,44.73757635911022,13.787878787878787
209,after,180,0.97,4500,5000,1569.4504940316356,546.0,49.03571260066633,13.787878787878787
210,after,180,0.9,5000,5500,1350.0171865637985,802.0,29.797040418122435,17.45375408052231
211,after,180,0.95,5000,5500,1600.117186563799,802.0,35.43017745966377,17.45375408052231
212,after,180,0.97,5000,5500,1700.1571865637989,802.0,37.6834322762803,17.45375408052231
213,after,180,0.9,5500,6000,1131.4878430569536,607.0,23.537843801209817,11.827747466874513
214,after,180,0.95,5500,6000,1298.8878430569534,607.0,27.275337724695994,11.827747466874513
215,after,180,0.97,5500,6000,1365.8478430569544,607.0,28.770335294090465,11.827747466874513
216,after,180,0.9,6000,6500,837.3080959762558,518.0,16.812318882513484,9.351868568333634
217,after,180,0.95,6000,6500,906.9080959762559,518.0,18.438482917845448,9.351868568333634
218,after,180,0.97,6000,6500,934.7480959762556,518.0,19.088948531978247,9.351868568333634
219,after,180,0.9,6500,7000,1116.765014102038,642.0,18.27922231427376,10.413625304136254
220,after,180,0.95,6500,7000,1202.565014102038,642.0,19.70070073712308,10.413625304136254
221,after,180,0.97,6500,7000,1236.885014102038,642.0,20.269292106262803,10.413625304136254
222,after,180,0.9,7000,7500,1016.2959111071797,498.0,16.165793438382615,7.621671258034894
223,after,180,0.95,7000,7500,1078.9959111071798,498.0,17.199404642382675,7.621671258034894
224,after,180,0.97,7000,7500,1104.0759111071798,498.0,17.6128491239827,7.621671258034894
225,after,180,0.9,7500,8000,716.3740441521716,663.0,10.6076936355419,9.388275276125743
226,after,180,0.95,7500,8000,724.4740441521717,663.0,10.792751539026042,9.388275276125743
227,after,180,0.97,7500,8000,727.7140441521715,663.0,10.86677470041969,9.388275276125743
228,after,180,0.9,8000,8500,716.3740441521716,663.0,10.6076936355419,9.388275276125743
229,after,180,0.95,8000,8500,724.4740441521717,663.0,10.792751539026042,9.388275276125743
230,after,180,0.97,8000,8500,727.7140441521715,663.0,10.86677470041969,9.388275276125743
231,after,180,0.9,8500,9000,716.3740441521716,663.0,10.6076936355419,9.388275276125743
232,after,180,0.95,8500,9000,724.4740441521717,663.0,10.792751539026042,9.388275276125743
233,after,180,0.97,8500,9000,727.7140441521715,663.0,10.86677470041969,9.388275276125743
234,after,180,0.9,9000,9500,716.3740441521716,663.0,10.6076936355419,9.388275276125743
235,after,180,0.95,9000,9500,724.4740441521717,663.0,10.792751539026042,9.388275276125743
236,after,180,0.97,9000,9500,727.7140441521715,663.0,10.86677470041969,9.388275276125743
237,after,180,0.9,9500,10000,716.3740441521716,663.0,10.6076936355419,9.388275276125743
238,after,180,0.95,9500,10000,724.4740441521717,663.0,10.792751539026042,9.388275276125743
239,after,180,0.97,9500,10000,727.7140441521715,663.0,10.86677470041969,9.388275276125743
240,after,240,0.9,0,500,191.9769385554158,120.0,73.55672283250036,35.08771929824561
241,after,240,0.95,0,500,225.57693855541572,120.0,91.51467637557587,35.08771929824561
242,after,240,0.97,0,500,239.01693855541566,120.0,98.69785779280608,35.08771929824561
243,after,240,0.9,500,1000,151.0,151.0,22.80154378970861,22.80154378970861
244,after,240,0.95,500,1000,185.0,185.0,30.812136241702415,30.812136241702415
245,after,240,0.97,500,1000,540.8858352549919,266.0,83.95570836813641,39.002932551319645
246,after,240,0.9,1000,1500,198.0,198.0,19.815614707719153,19.815614707719153
247,after,240,0.95,1000,1500,252.0,252.0,25.930780486178826,25.930780486178826
248,after,240,0.97,1000,1500,481.19696596561516,328.0,129.49839902717338,47.60522496371553
249,after,240,0.9,1500,2000,257.0,257.0,17.93985888593025,17.93985888593025
250,after,240,0.95,1500,2000,411.87752445439656,411.87752445439656,30.307735310269788,30.307735310269788
251,after,240,0.97,1500,2000,2119.077524454404,521.0,130.15923404627608,36.690140845070424
252,after,240,0.9,2000,2500,334.915263521067,334.915263521067,17.528778610414193,17.528778610414193
253,after,240,0.95,2000,2500,398.2076317605338,391.0,25.06605473156128,22.727272727272727
254,after,240,0.97,2000,2500,406.1076317605339,391.0,27.629501151653074,22.727272727272727
255,after,240,0.9,2500,3000,472.03228447931014,472.03228447931014,20.715608705923525,20.715608705923525
256,after,240,0.95,2500,3000,603.9822844793098,485.0,40.21362125614729,22.631824545030334
257,after,240,0.97,2500,3000,656.7622844793104,485.0,48.01282627623681,22.631824545030334
258,after,240,0.9,3000,3500,561.7293576698407,500.0,24.793721399794748,19.833399444664813
259,after,240,0.95,3000,3500,664.3293576698397,500.0,33.038243160710095,19.833399444664813
260,after,240,0.97,3000,3500,705.3693576698397,500.0,36.33605186507626,19.833399444664813
261,after,240,0.9,3500,4000,695.5205213207244,431.0,20.542810095718444,13.410080896079652
262,after,240,0.95,3500,4000,980.2705213207255,431.0,28.221022090222107,13.410080896079652
263,after,240,0.97,3500,4000,1094.1705213207256,431.0,31.29230688802356,13.410080896079652
264,after,240,0.9,4000,4500,788.3051172102214,497.0,19.545527122891258,12.691521961184883
265,after,240,0.95,4000,4500,967.0551172102209,497.0,23.751266570203725,12.691521961184883
266,after,240,0.97,4000,4500,1038.5551172102214,497.0,25.433562349128735,12.691521961184883
267,after,240,0.9,4500,5000,796.4774653927016,598.0,16.94479692279259,14.343967378268168
268,after,240,0.95,4500,5000,895.4774653927025,598.0,18.242083364850245,14.343967378268168
269,after,240,0.97,4500,5000,935.0774653927019,598.0,18.76099794167331,14.343967378268168
270,after,240,0.9,5000,5500,975.0494777491126,583.0,18.10358815721225,12.102968652688395
271,after,240,0.95,5000,5500,1103.8494777491123,583.0,20.074971454596124,12.102968652688395
272,after,240,0.97,5000,5500,1155.3694777491119,583.0,20.86352477354967,12.102968652688395
273,after,240,0.9,5500,6000,990.7853322271342,483.0,18.71322318639554,9.034792368125702
274,after,240,0.95,5500,6000,1129.3853322271345,483.0,21.354950755659345,9.034792368125702
275,after,240,0.97,5500,6000,1184.8253322271344,483.0,22.411641783364864,9.034792368125702
276,after,240,0.9,6000,6500,464.04598409487517,382.0,7.162707770366268,6.481167288768239
277,after,240,0.95,6000,6500,479.6459840948751,382.0,7.292294021664496,6.481167288768239
278,after,240,0.97,6000,6500,485.8859840948751,382.0,7.344128522183791,6.481167288768239
279,after,240,0.9,6500,7000,653.4635818433137,586.0,10.811662774606749,9.763412195934688
280,after,240,0.95,6500,7000,665.0135818433141,586.0,10.991126921822975,9.763412195934688
281,after,240,0.97,6500,7000,669.6335818433136,586.0,11.062912580709465,9.763412195934688
282,after,240,0.9,7000,7500,1110.5315313084852,498.0,17.82787247955347,7.621671258034894
283,after,240,0.95,7000,7500,1184.6315313084851,498.0,19.062550976673393,7.621671258034894
284,after,240,0.97,7000,7500,1214.271531308485,498.0,19.556422375521365,7.621671258034894
285,after,240,0.9,7500,8000,948.3820485646297,628.0,13.842665585893814,8.748955140707718
286,after,240,0.95,7500,8000,983.6320485646299,628.0,14.40310052286123,8.748955140707718
287,after,240,0.97,7500,8000,997.7320485646301,628.0,14.627274497648195,8.748955140707718
288,after,240,0.9,8000,8500,948.3820485646297,628.0,13.842665585893814,8.748955140707718
289,after,240,0.95,8000,8500,983.6320485646299,628.0,14.40310052286123,8.748955140707718
290,after,240,0.97,8000,8500,997.7320485646301,628.0,14.627274497648195,8.748955140707718
291,after,240,0.9,8500,9000,948.3820485646297,628.0,13.842665585893814,8.748955140707718
292,after,240,0.95,8500,9000,983.6320485646299,628.0,14.40310052286123,8.748955140707718
293,after,240,0.97,8500,9000,997.7320485646301,628.0,14.627274497648195,8.748955140707718
294,after,240,0.9,9000,9500,948.3820485646297,628.0,13.842665585893814,8.748955140707718
295,after,240,0.95,9000,9500,983.6320485646299,628.0,14.40310052286123,8.748955140707718
296,after,240,0.97,9000,9500,997.7320485646301,628.0,14.627274497648195,8.748955140707718
297,after,240,0.9,9500,10000,948.3820485646297,628.0,13.842665585893814,8.748955140707718
298,after,240,0.95,9500,10000,983.6320485646299,628.0,14.40310052286123,8.748955140707718
299,after,240,0.97,9500,10000,997.7320485646301,628.0,14.627274497648195,8.748955140707718
300,after,360,0.9,0,500,187.00491317529952,108.0,53.93656639909006,28.346456692913385
301,after,360,0.95,0,500,198.2049131752995,108.0,57.56430570276144,28.346456692913385
302,after,360,0.97,0,500,202.68491317529953,108.0,59.01540142422998,28.346456692913385
303,after,360,0.9,500,1000,166.3112377037363,166.3112377037363,23.077612539332446,23.077612539332446
304,after,360,0.95,500,1000,240.68990162988962,235.0,41.864375066377804,38.857142857142854
305,after,360,0.97,500,1000,353.96990162988413,235.0,101.73522817086734,38.857142857142854
306,after,360,0.9,1000,1500,212.37561021298052,212.37561021298052,21.23361242043915,21.23361242043915
307,after,360,0.95,1000,1500,268.1768306389413,268.1768306389413,30.197200521306797,30.197200521306797
308,after,360,0.97,1000,1500,483.3873225557636,329.0,56.145246347004786,36.141304347826086
309,after,360,0.9,1500,2000,286.01083486778913,286.01083486778913,20.176567244494763,20.176567244494763
310,after,360,0.95,1500,2000,648.340853281255,448.0,37.72564836453196,31.79559971611072
311,after,360,0.97,1500,2000,1243.2208532812474,448.0,55.33397578350497,31.79559971611072
312,after,360,0.9,2000,2500,361.7943863518975,361.7943863518975,20.588811179692936,20.588811179692936
